time,open,high,low,close,HTF EMA,HTF EMA,S2 SHORT,S2 LONG,S2 SHORT (blocked),S2 LONG (blocked),HTF EMA
1766040600,25869.4,25875.25,25864.45,25867.3,25822.979678431293,25822.979678431293,0,0,0,0,25822.979678431293
1766040900,25867.15,25882.35,25861.65,25879.85,25825.168710649672,25825.168710649672,0,0,0,0,25825.168710649672
1766041200,25880.15,25889.5,25877.8,25887.5,25827.27189846733,25827.27189846733,0,0,0,0,25827.27189846733
1766041500,25888.5,25899.05,25882.45,25892.8,25829.292608331358,25829.292608331358,0,0,0,0,25829.292608331358
1766041800,25893.35,25897.2,25888.75,25893.85,25831.234074671305,25831.234074671305,0,0,0,0,25831.234074671305
1766042100,25894.15,25902.35,25888.05,25889.45,25833.09940507635,25833.09940507635,0,0,0,0,25833.09940507635
1766042400,25890.05,25890.6,25875.9,25880.7,25834.891585269434,25834.891585269434,0,0,0,0,25834.891585269434
1766042700,25880.5,25888.35,25874.55,25881.8,25836.613483886318,25836.613483886318,0,0,0,0,25836.613483886318
1766043000,25882.75,25887.5,25878.9,25885.05,25838.267857067247,25838.267857067247,0,0,0,0,25838.267857067247
1766043300,25884.35,25887.05,25879.9,25882.05,25839.85735286853,25839.85735286853,0,0,0,0,25839.85735286853
1766043600,25882.5,25886.5,25873.1,25879.8,25841.423731187413,25841.423731187413,0,0,0,0,25841.423731187413
1766043900,25880,25880,25865.8,25867.9,25842.928682905553,25842.928682905553,0,0,0,0,25842.928682905553
1766044200,25868.8,25872.45,25861.05,25870.8,25844.374616909256,25844.374616909256,0,0,0,0,25844.374616909256
1766044500,25871.75,25879.9,25866.1,25867.15,25845.763847618695,25845.763847618695,0,0,0,0,25845.763847618695
1766044800,25868.05,25868.25,25847.45,25848.5,25847.09859869247,25847.09859869247,0,0,0,0,25847.09859869247
1766045100,25848.65,25861.7,25839.9,25857.1,25848.381006586886,25848.381006586886,0,0,0,0,25848.381006586886
1766045400,25857.35,25859.2,25844.35,25844.55,25849.613123975636,25849.613123975636,0,0,0,0,25849.613123975636
1766045700,25845.9,25853.7,25837.85,25848.2,25850.796923035414,25850.796923035414,0,0,0,0,25850.796923035414
1766046000,25848.9,25862.85,25844.7,25855.9,25851.934298602653,25851.934298602653,0,0,0,0,25851.934298602653
1766046300,25856.55,25856.55,25839.05,25843.4,25853.02707120647,25853.02707120647,0,0,0,0,25853.02707120647
1766046600,25843.55,25843.6,25824.65,25830.45,25854.07698998269,25854.07698998269,0,0,0,0,25854.07698998269
1766046900,25830.6,25830.95,25815.5,25815.55,25855.085735473564,25855.085735473564,0,0,0,0,25855.085735473564
1766047200,25816.55,25816.55,25802.15,25805.25,25853.131392905972,25853.131392905972,0,0,0,0,25853.131392905972
1766047500,25805.3,25814.85,25796.05,25808.85,25851.253691223385,25851.253691223385,0,0,0,0,25851.253691223385
1766047800,25809.1,25812.65,25780.95,25781.3,25849.4496249009,25849.4496249009,0,0,0,0,25849.4496249009
