time,open,high,low,close,HTF MA,HTF MA
1777273200,4712.785,4718.46,4710.16,4713.5,4705.707699999992,4712.577886391116
1777276800,4713.42,4714.94,4705.595,4706.795,4705.753799999992,4712.351106532641
1777280400,4706.79,4708.365,4699.3,4703.77,4705.556699999992,4712.014592550969
1777284000,4703.78,4711.075,4699.675,4708.76,4705.469599999991,4711.886961470538
1777287600,4708.795,4709.145,4700.345,4705.12,4705.186499999992,4711.621590432478
1777291200,4705.135,4712.655,4697.12,4699.43,4705.106099999992,4711.143488846891
1777294800,4699.405,4703.68,4689.125,4696.225,4705.074099999992,4710.558450068582
1777298400,4696.24,4696.84,4676.715,4678.24,4704.702499999992,4709.291059869814
1777302000,4678.255,4682.755,4667.335,4670.235,4703.6886999999915,4707.759449678841
1777305600,4670.24,4679.715,4667.425,4676.895,4702.424099999992,4706.5490791032
1777309200,4676.915,4686.305,4668.44,4682.24,4701.580199999992,4705.595781883467
1777312800,4682.245,4685.585,4679.06,4680.735,4700.520799999992,4704.620849260586
1777316400,4680.715,4682.765,4676.74,4680.915,4699.726099999992,4703.691208113111
1777320000,4680.91,4681.955,4677.55,4681.955,4698.704099999992,4702.83880779495
1777327200,4682.585,4691.32,4682.385,4687.87,4698.268199999992,4702.25179572456
1777330800,4687.835,4694.945,4687.195,4692.06,4698.088499999993,4701.852117460851
1777334400,4692.195,4701.64,4690.64,4690.835,4697.983599999992,4701.4200736388575
1777338000,4690.82,4691.75,4669.475,4670.76,4697.516999999992,4700.217717809883
1777341600,4670.85,4680.015,4666.6,4669.17,4697.0303999999915,4699.000160248711
1777345200,4669.265,4676.255,4668.59,4671.155,4696.544599999991,4697.908193180134
1777348800,4671.07,4671.41,4666.755,4667.73,4695.805399999991,4696.72473462405
1777352400,4667.84,4668.08,4624.08,4632.39,4694.465199999991,4694.201803854479
1777356000,4632.34,4643.13,4623.545,4629.06,4693.507299999991,4691.647223311166
1777359600,4629.035,4639.5,4620.655,4633.015,4692.71999999999,4689.347920436218
1777363200,4633.025,4635.585,4614.75,4629.77,4691.82569999999,4687.011531399504
1777366800,4629.73,4630.12,4604.675,4604.755,4690.189699999991,4683.785785070111
1777370400,4604.68,4616.78,4603.365,4603.41,4688.818399999991,4680.633793498734
1777374000,4603.405,4608.95,4555.635,4562.795,4686.184499999991,4676.012664341921
1777377600,4562.895,4600.3,4555.135,4593.935,4684.244899999991,4672.793932406944
1777381200,4593.905,4594.85,4570.86,4580.71,4682.2124999999905,4669.18279780275
1777384800,4580.645,4580.88,4557.36,4574.645,4680.14669999999,4665.4754331830345
1777388400,4574.655,4586.73,4566.995,4586.625,4677.741799999991,4662.38325933272
1777392000,4586.63,4594.93,4577.915,4592.24,4675.573799999991,4659.632543280456
1777395600,4592.255,4601.51,4587.28,4594.945,4673.235999999991,4657.0957768773005
1777399200,4594.965,4600.655,4592.225,4594.415,4670.5955999999915,4654.637707195838
1777402800,4594.43,4600.18,4593.415,4595.695,4667.967099999991,4652.326228482276
1777406400,4595.565,4598.65,4591.275,4596.8,4665.363499999991,4650.148729326108
1777413600,4598.745,4598.745,4592.38,4594.17,4662.779899999991,4647.95348503881
1777417200,4594.175,4596.27,4588.095,4595.75,4660.236699999991,4645.906289547092
1777420800,4595.755,4610.535,4594.995,4600.52,4657.919199999992,4644.126435055049
1777424400,4600.53,4600.765,4575.72,4585.015,4655.424499999992,4641.8083395626945
1777428000,4585.04,4604.32,4585.02,4593.71,4653.606699999992,4639.922130168079
1777431600,4593.715,4603.415,4592.395,4595.71,4651.9161999999915,4638.18832114188
1777435200,4595.725,4605.835,4595.48,4604.825,4650.053899999992,4636.879955606904
1777438800,4604.81,4607.725,4590.775,4591.15,4647.821499999992,4635.086624014477
1777442400,4591.105,4598.87,4580.925,4584.665,4645.148999999992,4633.1093054256735
1777446000,4584.69,4589.005,4567.37,4567.93,4642.022999999992,4630.55325423251
1777449600,4567.96,4576.995,4557.385,4573.43,4638.991599999992,4628.313126615549
1777453200,4573.415,4580.75,4551.675,4555.78,4635.900699999993,4625.468690277684
1777456800,4555.775,4576.535,4555.06,4569.95,4633.044099999993,4623.291486737383
1777460400,4569.945,4572.2,4559.25,4561.695,4630.0079999999925,4620.875938237878
1777464000,4561.675,4569.155,4541.705,4544.945,4626.7709999999925,4617.898254385412
1777467600,4544.91,4553.65,4510.095,4521.73,4623.130199999993,4614.126950291866
1777471200,4521.665,4542.815,4517.945,4539.455,4619.744099999993,4611.198638515714
1777474800,4539.385,4558.995,4536.3,4547.77,4616.597099999993,4608.711240926863
1777478400,4547.765,4564.985,4543.32,4545.565,4613.519799999993,4606.234917753261
1777482000,4545.6,4554.625,4541.79,4547.83,4610.551899999992,4603.94452882176
1777485600,4547.84,4553.05,4518.335,4538.24,4607.751899999992,4601.367880632672
1777489200,4538.255,4550.855,4533.34,4546.93,4605.285799999992,4599.233061784332
1777492800,4546.94,4553.855,4541.55,4543.715,4602.6221999999925,4597.055882890829
1777500000,4540.13,4552.805,4539.685,4552.2,4600.021399999992,4595.296828659816
1777503600,4552.185,4561.945,4549.525,4561.685,4597.640399999992,4593.97871773198
1777507200,4561.725,4574.245,4556.485,4569.99,4595.421899999992,4593.037983703275
1777510800,4569.92,4582.585,4564.76,4579.085,4593.364499999992,4592.490807871774
1777514400,4579.08,4582.035,4559.94,4565.085,4590.908799999993,4591.416070308175
1777518000,4564.8,4569.24,4555.79,4556.07,4588.188999999993,4590.029949903933
1777521600,4556.08,4557.09,4540.925,4542.05,4585.213299999992,4588.148383241034
1777525200,4542.06,4569.87,4541.965,4562.69,4583.051899999992,4587.150015270798
1777528800,4562.74,4591.59,4560.1,4589.66,4581.461699999993,4587.248446044492
1777532400,4589.7,4605.645,4584.885,4598.44,4580.007399999992,4587.687330513336
1777536000,4598.48,4629.76,4597.46,4616.36,4578.979999999992,4588.811748924578
1777539600,4616.35,4631.93,4614.29,4625.23,4578.836799999993,4590.239915633418
1777543200,4625.195,4647.045,4623.705,4639.755,4579.0506999999925,4592.181683647794
1777546800,4639.78,4645.96,4627.08,4630.26,4578.995599999993,4593.674950955723
1777550400,4630.345,4640.14,4624.75,4639.61,4579.192399999993,4595.476325428048
1777554000,4639.66,4645.905,4610.82,4611.185,4579.320999999994,4596.09235188185
1777557600,4611.24,4625.985,4609.5,4619.62,4579.645199999994,4597.015004749228
1777561200,4619.615,4625.57,4611.33,4615.3,4580.695299999993,4597.732063386513
1777564800,4615.295,4617.885,4605.48,4607.745,4580.971499999993,4598.124727567434
1777568400,4607.71,4621.765,4607.7,4616.895,4581.695199999993,4598.860816682437
1777572000,4616.91,4625.36,4616.73,4622.635,4582.654999999993,4599.793137596851
1777575600,4622.645,4627.415,4614.655,4617.17,4583.265899999994,4600.474583181288
1777579200,4617.18,4622.07,4615.435,4622.065,4583.8623999999945,4601.321266193787
1777586400,4629.515,4632.99,4626.555,4630.265,4584.568799999994,4602.456314578344
1777590000,4630.26,4634.145,4626.585,4626.685,4585.214199999993,4603.406459104684
1777593600,4626.655,4631.365,4618.635,4619.93,4585.698899999994,4604.0544411005785
1777597200,4619.915,4622.435,4614.15,4621.02,4586.183299999993,4604.71975713585
1777600800,4620.905,4635.94,4616.655,4619.215,4586.684199999994,4605.288198032484
1777604400,4619.155,4632.11,4617.875,4626.735,4587.3038999999935,4606.129249090033
1777608000,4626.74,4628.865,4609.2,4609.265,4587.478799999994,4606.252219713953
1777611600,4609.255,4616.2,4602.985,4605.18,4587.882099999993,4606.210171882033
1777615200,4605.235,4608.095,4590.86,4594.925,4587.9063999999935,4605.767616121953
1777618800,4594.885,4598.165,4575.875,4578.25,4587.557199999995,4604.688493921092
1777622400,4578.245,4582.52,4565.16,4569.225,4586.845199999994,4603.297768669285
1777626000,4569.2,4573.13,4560.32,4563.035,4586.282899999994,4601.718836564607
1777629600,4563.04,4576.105,4561.595,4567.055,4585.930699999994,4600.359470424819
1777633200,4567.01,4579.665,4562.515,4578.865,4586.149399999994,4599.516550016003
1777636800,4578.81,4607.875,4575.11,4591.435,4586.509499999995,4599.199626485964
1777640400,4591.43,4628.905,4586.695,4625.77,4587.909299999994,4600.241601917886
1777644000,4625.67,4660.585,4625.16,4632.31,4589.156499999994,4601.4991861564
1777647600,4632.325,4648.195,4619.1,4643.25,4590.787599999993,4603.136472973796
1777651200,4643.2,4650.035,4633.99,4638.81,4592.664899999994,4604.535434817961
1777654800,4638.815,4642.785,4626.785,4629.49,4594.8200999999935,4605.514045217256
1777658400,4629.495,4630.725,4613.855,4624.385,4596.518699999994,4606.254082659717
1777662000,4624.46,4627.69,4609.015,4610.92,4597.781699999994,4606.437059810316
1777665600,4610.905,4617.805,4607.22,4613.835,4599.147099999994,4606.727175111872
1777845600,4625.35,4629.465,4612.66,4619,4600.570499999994,4607.208462362387
1777849200,4618.985,4621,4611.405,4613.965,4602.084999999995,4607.473424622685
1777852800,4613.96,4616.685,4601.825,4613.17,4603.409799999994,4607.696819735521
1777856400,4613.125,4614.165,4592.965,4613.255,4604.800599999993,4607.91478758903
1777860000,4613.26,4618.825,4591.11,4606.065,4605.877899999993,4607.842246899264
1777863600,4606.04,4617.34,4598.63,4615.315,4606.950499999994,4608.135296040469
1777867200,4615.28,4615.7,4605.36,4606.205,4607.674799999993,4608.059598156529
1777870800,4606.19,4613.16,4592.365,4598.92,4608.071499999994,4607.701182542548
1777874400,4598.915,4600.76,4583.95,4588.97,4608.549199999993,4606.9666263644085
