time,open,high,low,close,HTF MA,HTF EMA
1730206800,2749.22,2771.79,2748.325,2769.485,2750.852426268497,2737.1526132223266
1730221200,2769.385,2774.885,2766.355,2774.58,2755.933229459437,2739.5672833370154
1730235600,2773.51,2779.25,2773.005,2778.21,2759.588590959894,2742.0603618314017
1730250000,2778.245,2782.185,2776.165,2780.24,2764.450344055744,2744.523564293892
1730264400,2780.235,2789.855,2778.09,2782.025,2768.9398461476144,2746.943011758802
1730278800,2781.935,2786.565,2773.665,2782.545,2771.869193524707,2749.2399142259765
1730293200,2782.54,2787.57,2770.925,2785.445,2774.3026474604785,2751.5757262113975
1730307600,2785.45,2790.07,2784.06,2787.475,2777.468894944993,2753.891808391307
1730322000,2786.87,2788.305,2784.755,2787.68,2779.1827309863193,2756.0716917209
1730336400,2787.69,2790.17,2782.165,2784.53,2780.611961617261,2757.9077116098742
1730350800,2784.525,2786.675,2777.025,2779.17,2780.8127748633956,2759.2794721511727
1730365200,2779.175,2782.69,2772.07,2773.735,2780.155145046141,2760.212086851097
1730379600,2773.715,2773.97,2731.635,2740.75,2771.3649785369034,2758.9564683445747
1730394000,2740.76,2749.825,2738.3,2743.95,2765.046785741266,2757.9883090965377
1730408400,2745.37,2747.945,2744.975,2745.14,2761.5979130423193,2757.159385929019
1730422800,2745.1,2753.145,2744.96,2752.38,2759.0732855500682,2756.8510384497276
1730437200,2752.43,2757.735,2747.22,2753.505,2757.537967850366,2756.635165001358
1730451600,2753.505,2759.895,2744.845,2753.875,2756.260099921036,2756.45708983998
1730466000,2753.885,2762.275,2739.76,2743.195,2754.207532457032,2755.6014711406265
1730480400,2743.175,2743.945,2733.255,2736.45,2749.8953622535296,2754.3658923573603
1730671200,2732.04,2741.405,2732.04,2740.01,2748.035068980609,2753.43970575366
1730685600,2740.005,2743.88,2737.085,2741.66,2746.3891414095337,2752.6797247372947
1730700000,2741.675,2744.935,2731.93,2743.4,2744.5600335945546,2752.0810328187595
1730714400,2743.415,2746.825,2736.595,2746.8,2744.109009389922,2751.740321024001
1730728800,2746.81,2748.24,2731.77,2738.445,2742.8044903367804,2750.882558377291
1730743200,2738.45,2739.735,2735.645,2736.605,2741.5901458438825,2749.961425578756
1730757600,2737.365,2737.635,2733.025,2734.325,2740.4192224828457,2748.9526239285137
1730772000,2734.32,2737.29,2724.765,2732.735,2738.655111661662,2747.906325610545
1730786400,2732.72,2745.065,2731.805,2740,2738.82243611263,2747.3962400872842
1730800800,2739.985,2746.815,2735.66,2744.75,2739.2773742732184,2747.2255149203625
1730815200,2744.745,2750.09,2733.035,2742.07,2740.0018380343663,2746.8929010545326
1730829600,2742.085,2744.935,2739.43,2743.91,2740.541498078316,2746.700455825208
1730844000,2743.065,2749.78,2732.78,2747.16,2741.114282052702,2746.730103836485
1730858400,2747.13,2748.415,2730.53,2738.975,2740.4399047498837,2746.2297745567116
1730872800,2738.97,2739.325,2701.425,2724.73,2735.8819388962484,2744.8426923272464
1730887200,2724.705,2727.305,2659.175,2664.28,2725.9115108854885,2739.6450992738755
1730901600,2664.235,2678.29,2652.405,2663.355,2711.9576471575624,2734.723157385238
1730916000,2663.385,2669.595,2659.06,2659.175,2700.488516340449,2729.8490827152227
1730930400,2662.255,2664.4,2643.355,2649.515,2692.7992616906854,2724.666238669079
1730944800,2649.535,2661.295,2649.51,2659.275,2684.5744934850964,2720.4474490775256
1730959200,2659.28,2667.695,2652.865,2661.72,2678.831863419058,2716.6585813951046
1730973600,2661.725,2685.21,2659.885,2684.65,2677.548451091957,2714.5935116276787
1730988000,2684.665,2700.405,2682.39,2699.435,2682.0279945846064,2713.6155431355705
1731002400,2699.44,2710.52,2687.575,2706.84,2686.3997983129725,2713.1784113203726
1731016800,2704.26,2710.43,2699.255,2699.95,2689.6448424374844,2712.3249654287356
1731031200,2699.945,2701.075,2693.385,2695.27,2690.989135627697,2711.2246450784946
1731045600,2695.265,2695.86,2680.415,2689.33,2690.311008245501,2709.812087331495
1731060000,2689.385,2701.215,2682.065,2697.66,2690.8885054512957,2709.028081697205
1731074400,2697.65,2704.12,2682.935,2688,2690.098294921391,2707.671431265127
1731088800,2688.01,2688.915,2682.93,2684.455,2689.0023691613906,2706.1735969899573
1731276000,2683.71,2686.165,2671.94,2673.04,2687.4831140773103,2704.0359455712505
1731290400,2673.045,2675.325,2666.57,2669.3,2683.6101831985566,2701.7949168247183
1731304800,2669.31,2674.15,2663.9,2666.895,2680.358857895877,2699.5433092876397
1731319200,2666.89,2675.34,2634.38,2635.58,2674.107813738349,2695.416644172308
1731333600,2635.61,2635.74,2611.46,2612.655,2660.5033707069715,2690.0771832579658
1731348000,2612.61,2626.275,2610.695,2619.595,2651.031748273182,2685.5299456284197
1731362400,2621.07,2627.235,2619.28,2624.195,2646.152573550221,2681.57285236207
1731376800,2624.175,2625.555,2605.44,2606.94,2639.109448191404,2676.7578296290335
1731391200,2606.945,2610.24,2590.895,2593.335,2629.891909957938,2671.3757115884505
1731405600,2593.32,2616.445,2589.725,2611.675,2623.6796127721627,2667.5240527762926
1731420000,2611.71,2617.125,2592.53,2597.48,2618.4879496092763,2663.005081629435
1731434400,2597.565,2602.165,2595.205,2598.29,2613.8969339707473,2658.8299150726975
1731448800,2597.96,2611.21,2597.72,2608.18,2611.8198221816174,2655.5621786163942
1731463200,2608.205,2613.285,2603.63,2605.84,2611.109025785485,2652.354296125014
1731477600,2605.825,2611.72,2601.095,2608.67,2610.1793850563045,2649.535954439529
1731492000,2608.665,2618.92,2605.94,2612.35,2610.2750207867584,2647.136860604721
1731506400,2612.355,2616.425,2577.68,2583.415,2606.3654495101673,2643.025772823771
1731520800,2583.4,2585.54,2572.7,2572.83,2599.561885993931,2638.497013286754
1731535200,2573.84,2581.445,2561.605,2562.645,2593.934230388573,2633.603335010189
1731549600,2562.635,2565.335,2555.36,2558.69,2586.2988438524517,2628.770216622435
1731564000,2558.695,2560.545,2536.855,2543.595,2578.4282494700237,2623.2750413564713
1731578400,2543.605,2560.41,2539.125,2557.18,2572.433223135595,2619.0108451399246
1731592800,2557.175,2577.525,2554.315,2573.04,2571.7858480452173,2616.0449841631553
1731607200,2573.075,2576.985,2563.995,2564.72,2571.1993252684774,2612.7336948623065
1731621600,2566.485,2571.76,2563.155,2565.09,2570.3119980521938,2609.6599080969963
1731636000,2565.04,2571.21,2559.81,2560,2569.3137827557293,2606.4560430584806
1731650400,2559.975,2569.055,2554.395,2564.05,2568.112136173682,2603.720169312772
1731664800,2564.03,2575.87,2561.23,2565.41,2568.1461824312146,2601.2485454861417
1731679200,2565.395,2576.045,2560.175,2563.02,2567.8650190045832,2598.782187712842
1731693600,2563.06,2568.125,2559.525,2563.22,2566.9875908253093,2596.487853021691
1731880800,2567.13,2597.28,2567.13,2587.13,2569.1144826504137,2595.8841205686786
1731895200,2587.07,2595.225,2585.085,2585.56,2573.9158609424876,2595.218048273925
1731909600,2585.51,2597.35,2580.5,2595.765,2577.187608482388,2595.253335482059
1731924000,2595.835,2605.225,2589.59,2604.06,2581.876331058018,2595.821507386442
1731938400,2604.055,2615.145,2602.83,2610.46,2588.6685822271997,2596.765926264736
1731952800,2610.47,2612.69,2607.785,2612.04,2593.8761655947574,2597.7513503766886
1731967200,2610.755,2617.905,2610.465,2615.77,2597.5280307035864,2598.9138439007734
1731981600,2615.735,2625.645,2615.725,2622.62,2603.5303806887587,2600.44327332653
1731996000,2622.64,2634.535,2617.755,2630.32,2608.666866106917,2602.370804079657
1732010400,2630.3,2639.53,2628.83,2635.33,2614.820618087695,2604.4972038164533
1732024800,2635.245,2636.985,2621,2628.1,2617.3903367348257,2606.019964860553
1732039200,2628.095,2634.705,2626.295,2632.2,2620.770529707656,2607.7089993856785
1732053600,2632.535,2641.58,2632.075,2639.655,2623.8365328132663,2609.7700316833766
1732068000,2639.64,2641.94,2635.015,2636.95,2627.1275433527767,2611.5235780263847
1732082400,2636.855,2637.14,2618.89,2621.92,2626.436228705244,2612.194314927908
1732096800,2621.925,2640.575,2620.985,2636.145,2627.42022469968,2613.7395204164304
1732111200,2636.15,2655.485,2634.175,2651.88,2632.452639621421,2616.2001965185964
1732125600,2651.89,2653.23,2645.5,2650.46,2636.5110398400016,2618.4105064206224
1732140000,2649.925,2660.53,2648.975,2653.495,2639.8264022912226,2620.6740221354207
1732154400,2653.485,2658.985,2650.45,2656.99,2643.6735017275605,2623.0169884492643
1732168800,2656.985,2671.695,2656.615,2668.905,2648.8670230513117,2625.9775053235053
1732183200,2668.91,2673.595,2660.51,2665.52,2653.214962605891,2628.5286340123116
1732197600,2665.54,2672.89,2661.355,2671.905,2656.565600129133,2631.327109237324
1732212000,2671.92,2673.565,2667.84,2669.645,2659.8996934611487,2633.7992312220126
1732226400,2669.5,2679.45,2668.2,2677.855,2662.386951556643,2636.6415388851087
1732240800,2677.85,2692.475,2677.34,2686.71,2668.151363503303,2639.8717621828437
1732255200,2686.715,2707.485,2685.94,2703.385,2675.1011354803836,2643.9693904291116
1732269600,2703.395,2710.185,2689.375,2692.98,2681.012238848604,2647.131365240137
1732284000,2692.945,2707.325,2684.495,2706.86,2686.1448234366944,2650.984825547225
1732298400,2706.875,2716.4,2705.115,2716.335,2691.8422154830573,2655.2009658345005
1732485600,2711.165,2721.42,2694.96,2701.32,2695.172345789543,2658.176387393565
1732500000,2701.325,2704.51,2658.21,2664.795,2690.568476734556,2658.6033946584967
