entry_time,exit_time,direction,entry,sl,exit,pnl_usd,outcome,t1_hit,layer
2025-12-04 08:40:00+00:00,2025-12-04 09:40:00+00:00,SHORT,4190.69,4197.23,4197.23,-75.0,SL,False,5M
2025-12-04 10:50:00+00:00,2025-12-04 11:00:00+00:00,SHORT,4197.68,4198.96,4198.96,-75.0,SL,False,5M
2025-12-05 17:50:00+00:00,2025-12-05 18:20:00+00:00,LONG,4216.56,4214.03,4214.03,-75.0,SL,False,5M
2025-12-08 14:25:00+00:00,2025-12-08 14:35:00+00:00,SHORT,4208.59,4211.38,4203.01,131.25,T2,True,5M
2025-12-09 14:00:00+00:00,2025-12-09 14:30:00+00:00,SHORT,4197.61,4203.91,4203.91,-75.0,SL,False,5M
2025-12-09 15:05:00+00:00,2025-12-09 15:20:00+00:00,SHORT,4193.8,4203.22,4203.22,-75.0,SL,False,5M
2025-12-10 14:55:00+00:00,2025-12-10 16:30:00+00:00,SHORT,4192.31,4201.66,4201.66,-75.0,SL,False,5M
2025-12-15 13:35:00+00:00,2025-12-15 13:40:00+00:00,LONG,4340.7,4339.4,4339.4,-75.0,SL,False,5M
2025-12-16 08:05:00+00:00,2025-12-16 12:05:00+00:00,SHORT,4283.33,4289.64,4283.33,56.25,BE,True,5M
2025-12-16 12:35:00+00:00,2025-12-16 12:40:00+00:00,SHORT,4288.87,4289.64,4289.64,-75.0,SL,False,5M
2025-12-16 17:00:00+00:00,2025-12-16 17:05:00+00:00,LONG,4305.76,4303.57,4310.14,131.25,T2,True,5M
2025-12-18 15:20:00+00:00,2025-12-18 16:20:00+00:00,LONG,4331.92,4311.23,4373.3,131.25,T2,True,5M
2025-12-19 16:55:00+00:00,2025-12-19 20:40:00+00:00,LONG,4349.71,4338.91,4338.91,-75.0,SL,False,5M
2025-12-22 14:40:00+00:00,2025-12-22 15:15:00+00:00,LONG,4422.77,4413.35,4413.35,-75.0,SL,False,5M
2025-12-26 17:35:00+00:00,2025-12-28 23:00:00+00:00,LONG,4519.15,4508.23,4540.99,131.25,T2,True,5M
2025-12-30 14:30:00+00:00,2025-12-30 14:45:00+00:00,SHORT,4382.18,4395.51,4355.52,131.25,T2,True,5M
2025-12-31 15:00:00+00:00,2025-12-31 16:00:00+00:00,SHORT,4336.25,4342.67,4336.25,0.0,BE,False,5M
2026-01-05 13:55:00+00:00,2026-01-05 14:45:00+00:00,LONG,4416.57,4407.29,4435.13,131.25,T2,True,5M
2026-01-06 11:25:00+00:00,2026-01-06 13:10:00+00:00,LONG,4455.35,4449.19,4467.67,131.25,T2,True,5M
