tf,setup,setup_name,direction,entry_time,exit_time,entry_price,exit_price,sl,tp,exit_reason,pnl_r,pnl_usd,equity,session
5M,2,Zone-Pyramid,LONG,2024-08-13 16:40:00+00:00,2024-08-13 22:35:00+00:00,2467.96,2465.06,2459.14,2485.6000000000004,time-stop,-0.329,-23.05,4650.98,NY
5M,5,Fib-Reject,SHORT,2024-08-15 14:55:00+00:00,2024-08-15 19:55:00+00:00,2451.42,2455.25,2462.0283,2430.2034000000003,time-stop,-0.361,-8.4,4642.58,NY
5M,2,Zone-Pyramid,LONG,2024-08-16 14:50:00+00:00,2024-08-16 14:55:00+00:00,2487.53,2487.5900000000006,2487.5,2487.5900000000006,TP,2.0,139.28,4781.86,NY
5M,5,Fib-Reject,LONG,2024-08-19 13:15:00+00:00,2024-08-19 13:25:00+00:00,2491.99,2488.971,2488.971,2498.0279999999993,SL,-1.0,-23.91,4757.95,NY
5M,5,Fib-Reject,LONG,2024-08-19 13:30:00+00:00,2024-08-19 13:35:00+00:00,2492.86,2488.971,2488.971,2500.6380000000004,SL,-1.0,-23.79,4734.16,NY
5M,5,Fib-Reject,SHORT,2024-08-21 16:05:00+00:00,2024-08-21 18:05:00+00:00,2505.9,2514.0837,2514.0837,2489.5326,SL,-1.0,-23.67,4710.49,NY
5M,5,Fib-Reject,LONG,2024-08-23 13:55:00+00:00,2024-08-23 14:00:00+00:00,2498.29,2500.1465500000004,2497.0523,2500.7654,partial-TP,1.5,35.33,4745.82,NY
5M,2,Zone-Pyramid,LONG,2024-08-23 16:30:00+00:00,2024-08-23 16:40:00+00:00,2508.78,2505.84,2505.84,2514.6600000000003,SL,-1.0,-71.19,4674.63,NY
5M,5,Fib-Reject,LONG,2024-08-23 16:45:00+00:00,2024-08-25 22:35:00+00:00,2506.59,2512.19,2499.5087,2520.7526000000007,time-stop,0.791,18.48,4693.12,NY
5M,5,Fib-Reject,LONG,2024-08-26 13:05:00+00:00,2024-08-26 13:10:00+00:00,2523.13,2524.65805,2522.1113,2525.1674000000003,partial-TP,1.5,35.2,4728.32,NY
5M,5,Fib-Reject,LONG,2024-08-26 13:35:00+00:00,2024-08-26 13:45:00+00:00,2525.32,2522.1113,2522.1113,2531.7374000000004,SL,-1.0,-23.64,4704.67,NY
5M,5,Fib-Reject,LONG,2024-08-26 15:40:00+00:00,2024-08-26 16:10:00+00:00,2514.05,2514.05,2512.2199,2517.7102000000004,SL,-0.0,-0.0,4704.67,NY
5M,5,Fib-Reject,LONG,2024-08-27 16:10:00+00:00,2024-08-27 17:40:00+00:00,2512.07,2519.1359000000007,2507.3594,2521.491200000001,partial-TP,1.5,35.29,4739.96,NY
5M,5,Fib-Reject,SHORT,2024-08-28 13:20:00+00:00,2024-08-28 13:25:00+00:00,2504.21,2507.7096,2507.7096,2497.2108,SL,-1.0,-23.7,4716.26,NY
5M,5,Fib-Reject,SHORT,2024-08-28 13:35:00+00:00,2024-08-28 14:10:00+00:00,2503.22,2507.7096,2507.7096,2494.240799999999,SL,-1.0,-23.58,4692.68,NY
5M,3,Liq-Sweep,LONG,2024-08-30 13:15:00+00:00,2024-08-30 13:30:00+00:00,2517.2,2513.6,2513.6,2524.3999999999996,SL,-1.0,-23.46,4669.21,NY
5M,5,Fib-Reject,SHORT,2024-09-03 16:00:00+00:00,2024-09-03 21:00:00+00:00,2486.93,2492.64,2495.6222000000002,2469.545599999999,time-stop,-0.657,-15.34,4653.88,NY
5M,1,50min-Wait,LONG,2024-09-04 16:05:00+00:00,2024-09-04 19:40:00+00:00,2495.07,2491.73,2491.73,2501.7500000000005,SL,-1.0,-23.27,4630.61,NY
5M,2,Zone-Pyramid,LONG,2024-09-05 13:55:00+00:00,2024-09-05 14:00:00+00:00,2514.94,2513.35,2513.35,2518.1200000000003,SL,-1.0,-69.46,4561.15,NY
5M,5,Fib-Reject,LONG,2024-09-05 14:15:00+00:00,2024-09-05 14:40:00+00:00,2520.0,2515.5547,2515.5547,2528.8905999999997,SL,-1.0,-22.81,4538.34,NY
