entry_time,direction,entry,sl,dist,touches,htf_dist,fresh,outcome,t1_hit,pnl_usd
2024-11-18 17:45:00+00:00,LONG,2610.48,2609.41,1.07,2,1.48,False,SL,False,-75.0
2024-11-18 17:50:00+00:00,LONG,2610.98,2609.41,1.57,2,1.42,False,SL,False,-75.0
2024-11-22 14:20:00+00:00,SHORT,2689.6,2694.49,4.89,2,2.71,True,SL,False,-75.0
2024-11-28 17:50:00+00:00,SHORT,2640.77,2642.35,1.58,2,0.68,True,T2,True,131.25
2024-11-29 13:10:00+00:00,SHORT,2659.74,2664.34,4.6,2,2.04,True,T2,True,131.25
2024-11-29 13:30:00+00:00,SHORT,2660.0,2664.34,4.34,3,1.74,False,T2,True,131.25
2024-11-29 14:10:00+00:00,SHORT,2659.62,2664.34,4.72,4,5.38,False,BE,True,56.25
2024-12-04 16:25:00+00:00,LONG,2654.24,2649.85,4.39,2,0.08,True,SL,False,-75.0
2024-12-04 17:45:00+00:00,LONG,2651.59,2649.85,1.74,4,1.29,False,SL,False,-75.0
2024-12-05 13:20:00+00:00,SHORT,2647.67,2652.57,4.9,4,1.33,True,T2,True,131.25
2024-12-06 17:15:00+00:00,SHORT,2637.77,2641.31,3.54,2,2.86,True,BE,True,56.25
2024-12-09 13:00:00+00:00,LONG,2657.52,2654.04,3.48,4,10.19,True,T2,True,131.25
2024-12-09 16:55:00+00:00,LONG,2667.57,2664.91,2.66,2,0.95,True,SL,False,-75.0
2024-12-16 13:00:00+00:00,LONG,2662.26,2657.83,4.43,2,1.83,True,SL,False,-75.0
2024-12-16 17:25:00+00:00,SHORT,2654.22,2655.28,1.06,2,2.31,True,T2,True,131.25
2024-12-16 17:30:00+00:00,SHORT,2653.37,2655.28,1.91,2,2.22,False,SL,False,-75.0
2024-12-23 17:15:00+00:00,SHORT,2613.22,2614.07,0.85,2,2.8,True,SL,False,-75.0
2024-12-23 17:30:00+00:00,SHORT,2613.04,2614.07,1.03,2,2.49,False,T2,True,131.25
2024-12-23 17:45:00+00:00,SHORT,2611.58,2614.07,2.49,2,2.2,False,SL,False,-75.0
2025-01-06 13:20:00+00:00,SHORT,2643.51,2645.65,2.14,4,13.34,True,T2,True,131.25
2025-01-08 14:50:00+00:00,LONG,2665.02,2660.8,4.22,2,4.6,True,SL,False,-75.0
2025-01-08 15:00:00+00:00,LONG,2664.53,2660.8,3.73,2,7.82,False,SL,False,-75.0
2025-01-16 15:15:00+00:00,LONG,2715.54,2713.66,1.88,2,3.25,True,T2,True,131.25
2025-01-16 15:25:00+00:00,LONG,2717.51,2713.66,3.85,2,3.0,False,SL,False,-75.0
2025-01-17 13:00:00+00:00,SHORT,2709.3,2711.38,2.08,2,3.42,True,BE,True,56.25
2025-01-23 15:45:00+00:00,SHORT,2747.84,2751.46,3.62,2,0.09,True,SL,False,-75.0
2025-01-31 16:05:00+00:00,LONG,2808.99,2805.25,3.74,3,0.12,True,SL,False,-75.0
2025-02-17 16:20:00+00:00,SHORT,2898.65,2902.29,3.64,2,0.17,True,BE,True,56.25
2025-02-19 15:40:00+00:00,SHORT,2935.35,2939.37,4.02,4,7.46,True,T2,True,131.25
2025-02-25 14:40:00+00:00,SHORT,2938.49,2941.58,3.09,2,2.26,True,T2,True,131.25
2025-02-28 17:05:00+00:00,SHORT,2848.79,2850.96,2.17,2,3.04,True,T2,True,131.25
2025-02-28 17:25:00+00:00,SHORT,2846.55,2850.96,4.41,2,2.59,False,BE,True,56.25
2025-03-10 14:05:00+00:00,LONG,2905.06,2896.63,8.43,3,2.81,True,SL,False,-75.0
2025-03-10 15:00:00+00:00,SHORT,2906.91,2907.63,0.72,2,1.87,True,T2,True,131.25
2025-03-13 13:00:00+00:00,LONG,2942.07,2941.23,0.84,6,6.48,True,T2,True,131.25
2025-03-13 13:15:00+00:00,LONG,2944.21,2941.23,2.98,6,5.75,False,T2,True,131.25
2025-03-20 16:05:00+00:00,SHORT,3039.81,3040.82,1.01,2,0.52,True,SL,False,-75.0
2025-04-01 14:00:00+00:00,SHORT,3132.14,3136.37,4.23,5,4.31,True,BE,True,56.25
2025-04-01 14:10:00+00:00,SHORT,3125.78,3136.37,10.59,5,3.98,False,T2,True,131.25
